tweet,user,location,date
"RT @cta: Good news, Division riders: inbound trains have resumed stopping at your station. https://t.co/e0wgvIQpEO",transit_tweets,,2019-11-08 14:19:28
@cta Brown- Purple lines can confirm,olegtwos,,2019-11-08 14:19:09
@jlangsen How are they about seating for expecting mamas? The @cta started handing out Baby on Board buttons this y… https://t.co/gELQAmRVkP,Molly_Banuelos,"Chicago, IL",2019-11-08 14:17:58
RT @cta: [Minor Delays] Loop 'L' trains are standing near Library due to a mechanical problem on a train. Crews working to restore service.,itsmetyrinh,"Chicago, IL",2019-11-08 14:16:38
"As I sit here on an immobile @cta pink line train due to a disabled train ahead during the AM commute, I am reminde… https://t.co/SUmjA0UtRz",korenashley,"Boston, MA",2019-11-08 14:16:25
@cta can you please get it together with the purple line!?!,yeahMFyeah,"Chicago, IL",2019-11-08 14:15:20
RT @cta: [Minor Delays] Loop 'L' trains are standing near Library due to a train in emergency. Crews working to restore service.,itsmetyrinh,"Chicago, IL",2019-11-08 14:15:13
@cta is the 82 Kimball/Homan bus being rerouted? Wait times keep changing...,caroluna25,,2019-11-08 14:13:55
@cta is the blue line running to O’Hare,dianaklonaris,,2019-11-08 13:53:08
@king_skitz_ @cta Absolutely. I come from West and I have no issues until I hit Belmont. Its all downhill from there.,MzNeauxla,Chicago,2019-11-08 13:52:05
The disrespect to @cta is real. Chicago’s got better transit than almost all of these cities lol https://t.co/NC8m8zSLh5,TravyTrav08,,2019-11-08 13:51:12
@MzNeauxla @cta It’s like the further north you go the worst the service gets,king_skitz_,"Englewood,IL",2019-11-08 13:43:41
RT @cta: [Significant Delays] Blue Line trains are standing Harlem (FP) due to an unauthorized person on the tracks. Crews working to resto…,JucheMane,Chicago,2019-11-08 13:42:52
RT @mooij_richard: Thank you for a great course the last few weeks on open data and Farm Data Management @godanSec @cta https://t.co/SjPn3u…,ChipoMsengezi,"Wageningen, Netherlands",2019-11-08 13:38:29
"RT @PeterNickeas: An on-duty @cta bus driver was stomped and robbed yesterday about 6:50 p.m. near 55/Drexel. Verbal altercation that ""turn…",WeekendGabe,"Chicago, IL",2019-11-08 13:32:06
Switching problems at Howard this morning. @CTA had NO WARNING that it might be cold today affecting equipment. Wil… https://t.co/8TTbskcsHo,ArchAtLast,"Rogers Park, Chicago",2019-11-08 13:22:40
RT @mooij_richard: Thank you for a great course the last few weeks on open data and Farm Data Management @godanSec @cta https://t.co/SjPn3u…,Romain_DAVID_13,"Montignac, France",2019-11-08 13:15:58
@PeterNickeas @cta Glad they caught them.,basilialukos,,2019-11-08 13:14:50
An on-duty @cta bus driver was stomped and robbed yesterday about 6:50 p.m. near 55/Drexel. Verbal altercation that… https://t.co/7PtTrrbSMQ,PeterNickeas,"Chicago, IL",2019-11-08 13:14:17
"When @cta has a delay that’s gonna cause you to be late for work, they add insult by leaving the door open... https://t.co/eaMS8yuIna",MzNeauxla,Chicago,2019-11-08 13:11:58
RT @cta: [Minor Delays] 95th-bound Red Line trains are running w/residual delays following an earlier signal problems at Howard. Service is…,CTARedLineAlert,"Chicago, IL",2019-11-08 13:04:31
@MikeZillo @eeevaylo19 @NFL @cta Hey @cta I was at harlem at 5:50 and I didn’t get to ORD until 6:10. Blew out my b… https://t.co/09ugtsmeFR,draiff,"Chicago, IL",2019-11-08 12:52:53
"@eeevaylo19 @NFL @cta When you take the @cta to the airport, you board in group 9. https://t.co/0YV1LK4YgG",MikeZillo,,2019-11-08 12:50:39
"Ahhh, the temperature drops and the @cta blue line crazies grow in population for my morning commute. Witnessing a… https://t.co/1lNhMFGZdt",2fathoms,"Forest Park, IL",2019-11-08 12:18:44
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,lidia_basurto,"Chicago, IL",2019-11-08 12:11:28
RT @mooij_richard: Thank you for a great course the last few weeks on open data and Farm Data Management @godanSec @cta https://t.co/SjPn3u…,godanSec,,2019-11-08 12:01:50
