,Station_ID,Station_Name_x,Station_Name_y
235,41310,Paulina,Paulina
236,41310,Paulina,Paulina
237,41030,Polk,Polk
238,41030,Polk,Polk
239,40150,Pulaski-Cermak,Pulaski
240,40150,Pulaski-Cermak,Pulaski
241,40920,Pulaski-Forest Park,Pulaski
242,40920,Pulaski-Forest Park,Pulaski
243,40030,Pulaski-Lake,Pulaski
244,40030,Pulaski-Lake,Pulaski
245,40960,Pulaski-Orange,Pulaski
246,40960,Pulaski-Orange,Pulaski
247,40040,Quincy-Wells,Quincy-Wells
248,40040,Quincy-Wells,Quincy-Wells
249,40470,Racine,Racine
250,40470,Racine,Racine
251,40200,Randolph-Wabash,
252,40610,Ridgeland,Ridgeland
253,40610,Ridgeland,Ridgeland
254,41010,Rockwell,Rockwell
255,41010,Rockwell,Rockwell
256,41400,Roosevelt,Roosevelt
257,40820,Rosemont,Rosemont
258,40820,Rosemont,Rosemont
259,40800,Sedgwick,Sedgwick
260,40800,Sedgwick,Sedgwick
261,40080,Sheridan,Sheridan
262,40080,Sheridan,Sheridan
263,40080,Sheridan,Sheridan
264,40080,Sheridan,Sheridan
265,40840,South Boulevard,South Boulevard
266,40840,South Boulevard,South Boulevard
267,40360,Southport,Southport
268,40360,Southport,Southport
269,40190,Sox-35th-Dan Ryan,Sox-35th
270,40190,Sox-35th-Dan Ryan,Sox-35th
271,40260,State-Lake,State-Lake
272,40260,State-Lake,State-Lake
273,40880,Thorndale,Thorndale
274,40880,Thorndale,Thorndale
275,40350,UIC-Halsted,UIC-Halsted
276,40350,UIC-Halsted,UIC-Halsted
277,40370,Washington-Dearborn,Washington
278,40370,Washington-Dearborn,Washington
279,40500,Washington-State,
280,41700,Washington-Wabash,Washington-Wabash
281,41700,Washington-Wabash,Washington-Wabash
282,40730,Washington-Wells,Washington-Wells
283,40730,Washington-Wells,Washington-Wells
284,41210,Wellington,Wellington
285,41210,Wellington,Wellington
286,41480,Western-Brown,Western
287,41480,Western-Brown,Western
288,40740,Western-Cermak,Western
289,40740,Western-Cermak,Western
290,40220,Western-Forest Park,Western
291,40220,Western-Forest Park,Western
292,40670,Western-Milwaukee,Western
293,40670,Western-Milwaukee,Western
294,40310,Western-Orange,Western
295,40310,Western-Orange,Western
296,40540,Wilson,Wilson
297,40540,Wilson,Wilson
298,40540,Wilson,Wilson
299,40540,Wilson,Wilson
