Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
HT336335,6/8/2011 4:00,003XX S WABASH AVE,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,123,2,6,1176858,1898900,2011,41.87792656,-87.62607999,"(41.877926556, -87.626079988)",48,14912,38,367,36,29,22,126
HT345718,6/13/2011 19:55,012XX N CLARK ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,1821,42,6,1175314,1908524,2011,41.90437011,-87.63146007,"(41.904370109, -87.631460067)",22,14926,37,17,11,54,14,198
HT345795,6/13/2011 15:45,012XX N CLARK ST,1570,SEX OFFENSE,PUBLIC INDECENCY,CTA PLATFORM,FALSE,FALSE,1821,42,17,1175314,1908524,2011,41.90437011,-87.63146007,"(41.904370109, -87.631460067)",22,14926,37,17,11,54,14,198
HT346644,6/14/2011 12:08,003XX N PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,1114,28,18,1149677,1901564,2011,41.88580814,-87.72581306,"(41.885808136, -87.725813061)",11,21572,27,659,23,30,16,83
HT348115,6/15/2011 9:15,011XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,132,2,18,1176517,1895340,2011,41.86816541,-87.62743954,"(41.868165405, -87.62743954)",48,14913,38,12,10,35,22,144
HT348943,6/15/2011 16:40,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT348913,6/15/2011 17:00,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT349158,6/15/2011 19:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT349253,6/15/2011 9:00,002XX N CLARK ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,113,42,6,1175498,1901842,2011,41.88603022,-87.63098512,"(41.886030221, -87.630985117)",22,14309,38,92,36,42,22,79
HT349776,6/16/2011 8:10,002XX W 63RD ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,711,20,11,1175827,1863196,2011,41.77997505,-87.63093738,"(41.779975054, -87.630937377)",53,21559,66,435,4,11,17,201
HT324776,6/1/2011 9:00,0000X W 95TH ST,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,634,21,3,1177762,1841949,2011,41.7216272,-87.62448518,"(41.721627204, -87.624485177)",18,21861,45,187,13,59,20,242
HT350070,6/16/2011 11:40,002XX W 47TH ST,560,ASSAULT,SIMPLE,CTA PLATFORM,TRUE,FALSE,935,3,08A,1175476,1873816,2011,41.80912527,-87.63190651,"(41.809125265, -87.631906508)",12,14924,3,224,9,37,23,117
HT350086,6/16/2011 12:03,003XX E GARFIELD BLVD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,232,3,11,1179198,1868614,2011,41.79476634,-87.61841373,"(41.794766343, -87.618413732)",12,22260,7,401,9,10,24,125
HT350092,6/16/2011 11:30,0000X W 95TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,634,21,11,1177762,1841949,2011,41.7216272,-87.62448518,"(41.721627204, -87.624485177)",18,21861,45,187,13,59,20,242
HT335960,6/7/2011 20:10,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT350646,6/16/2011 17:15,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT350669,6/16/2011 17:20,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT350992,6/16/2011 20:50,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT351052,6/16/2011 16:30,003XX S WABASH AVE,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,123,2,6,1176858,1898900,2011,41.87792656,-87.62607999,"(41.877926556, -87.626079988)",48,14912,38,367,36,29,22,126
HT343815,6/12/2011 15:00,002XX S WABASH AVE,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,123,42,6,1176845,1899365,2011,41.87920284,-87.62611365,"(41.879202837, -87.626113652)",22,14912,38,367,36,29,22,126
HT351512,6/17/2011 8:10,076XX N PAULINA ST,560,ASSAULT,SIMPLE,CTA PLATFORM,FALSE,FALSE,2422,49,08A,1163657,1950509,2011,42.01983254,-87.67309087,"(42.019832544, -87.673090871)",3,21853,10,340,5,9,11,32
HT351842,6/17/2011 11:10,016XX W LAKE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CTA PLATFORM,TRUE,FALSE,1333,27,18,1165537,1901501,2011,41.88531238,-87.66757363,"(41.885312381, -87.667573631)",41,21184,29,579,46,28,15,78
HT352181,6/17/2011 15:40,0000X W 69TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,731,6,18,1177279,1859276,2011,41.76918549,-87.62573242,"(41.769185486, -87.625732415)",31,22260,67,513,32,11,17,201
HT351977,6/17/2011 13:15,013XX W MORSE AVE,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,CTA PLATFORM,FALSE,FALSE,2431,49,04B,1165794,1946184,2011,42.00791918,-87.66535113,"(42.007919177, -87.665351128)",3,21853,10,66,5,9,11,39
HT352530,6/17/2011 18:45,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT352560,6/17/2011 12:20,035XX S ARCHER AVE,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,913,11,6,1162846,1881387,2011,41.83017449,-87.67801919,"(41.830174487, -87.678019189)",26,14924,56,719,1,37,23,165
HT352525,6/17/2011 18:20,003XX N CENTRAL AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1512,29,11,1138977,1901868,2011,41.8868435,-87.76509882,"(41.886843497, -87.765098817)",52,22216,26,618,7,32,25,85
HT352735,6/17/2011 20:20,015XX N CLYBOURN AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1822,43,11,1170470,1910783,2011,41.91067631,-87.64918707,"(41.910676312, -87.649187069)",51,22620,37,108,11,49,14,199
HT351744,6/17/2011 9:11,003XX E GARFIELD BLVD,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,234,3,6,1179194,1868494,2011,41.79443714,-87.61843206,"(41.794437143, -87.61843206)",12,22260,7,402,9,10,24,125
