Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
HT100175,1/1/2011 1:30,001XX N STATE ST,560,ASSAULT,SIMPLE,CTA PLATFORM,FALSE,FALSE,122,42,08A,1176353,1900882,2011,41.88337668,-87.62787438,"(41.883376682, -87.627874384)",22,14310,38,580,36,41,22,88
HT101136,1/1/2011 17:16,004XX S RACINE AVE,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,1213,2,08B,1168451,1897951,2011,41.87550838,-87.65697569,"(41.875508384, -87.656975687)",48,14917,29,87,26,44,15,95
HT101202,1/1/2011 18:00,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT101240,1/1/2011 18:30,015XX N CLYBOURN AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,TRUE,FALSE,1822,43,3,1170470,1910783,2011,41.91067631,-87.64918707,"(41.910676312, -87.649187069)",51,22620,37,108,11,49,14,199
HT101962,1/2/2011 13:08,075XX N PAULINA AVE,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,CTA PLATFORM,TRUE,FALSE,2422,49,26,1163690,1950023,2011,42.01849825,-87.67298323,"(42.018498254, -87.672983233)",3,21853,10,489,5,9,11,32
HT102616,1/2/2011 23:45,016XX N DAMEN AVE,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,1434,32,6,1162771,1910740,2011,41.91072335,-87.6774715,"(41.910723346, -87.677471499)",16,22535,25,179,11,1,7,192
HT102954,1/2/2011 18:50,015XX N CLYBOURN AVE,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,1822,27,6,1170965,1910314,2011,41.9093785,-87.64738241,"(41.909378501, -87.647382412)",41,22620,37,108,46,54,14,199
HT103057,1/3/2011 11:30,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT101362,1/1/2011 21:24,003XX N CENTRAL AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,TRUE,FALSE,1512,29,3,1138977,1901868,2011,41.8868435,-87.76509882,"(41.886843497, -87.765098817)",52,22216,26,618,7,32,25,85
HT105442,1/4/2011 18:30,029XX E 83RD ST,440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,CTA PLATFORM,FALSE,FALSE,424,10,08B,1197469,1850510,2011,41.74465133,-87.55201855,"(41.744651331, -87.552018554)",47,21202,42,505,37,25,19,239
HT106294,1/5/2011 12:25,0000X N STATE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,TRUE,FALSE,122,42,26,1176361,1900610,2011,41.88263012,-87.62785322,"(41.882630118, -87.627853218)",22,14310,38,580,36,41,22,93
HT106921,1/5/2011 18:56,005XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,1132,24,18,1149812,1897228,2011,41.87390705,-87.72543009,"(41.873907046, -87.725430093)",36,21572,27,675,14,30,16,142
HT106941,1/5/2011 19:20,011XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,132,2,18,1176517,1895340,2011,41.86816541,-87.62743954,"(41.868165405, -87.62743954)",48,14913,38,12,10,35,22,144
HT106931,1/5/2011 18:45,002XX S STATE ST,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,123,42,08B,1176417,1899156,2011,41.878639,-87.62769149,"(41.878638996, -87.627691486)",22,14912,38,92,36,29,22,126
HT106987,1/5/2011 19:10,005XX S PULASKI RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1132,24,11,1149812,1897228,2011,41.87390705,-87.72543009,"(41.873907046, -87.725430093)",36,21572,27,675,14,30,16,142
HT108319,1/6/2011 18:00,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT108441,1/6/2011 19:30,0000X E ROOSEVELT RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,132,2,11,1176818,1895074,2011,41.86742869,-87.62634257,"(41.867428687, -87.626342565)",48,14913,38,374,10,35,22,144
HT108415,1/6/2011 19:25,005XX S PULASKI RD,2024,NARCOTICS,POSS: HEROIN(WHITE),CTA PLATFORM,TRUE,FALSE,1132,24,18,1149812,1897228,2011,41.87390705,-87.72543009,"(41.873907046, -87.725430093)",36,21572,27,675,14,30,16,142
HT101263,1/1/2011 18:57,002XX S DEARBORN ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,CTA PLATFORM,TRUE,FALSE,123,42,26,1175967,1899285,2011,41.87900312,-87.62933989,"(41.87900312, -87.629339891)",22,14912,38,92,36,29,22,126
HT109095,1/7/2011 11:00,011XX W WILSON AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,2311,46,11,1167963,1930704,2011,41.96539498,-87.65782015,"(41.965394976, -87.657820148)",37,22616,31,241,39,15,5,6
HT109029,1/7/2011 10:02,004XX E 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,313,20,18,1180086,1863329,2011,41.78024349,-87.61531932,"(41.780243493, -87.615319321)",53,22260,9,332,4,60,18,277
HT109634,1/7/2011 16:45,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT109790,1/7/2011 18:06,007XX S CICERO AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),CTA PLATFORM,TRUE,FALSE,1533,24,18,1144508,1896325,2011,41.87153053,-87.74492681,"(41.871530533, -87.744926805)",36,22216,26,61,14,32,16,143
HT109843,1/7/2011 19:30,005XX S KEDZIE AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1134,24,11,1155124,1897322,2011,41.8740601,-87.70592431,"(41.874060099, -87.705924314)",36,21572,28,765,14,30,16,140
HT102846,1/3/2011 8:37,0000X W 69TH ST,460,BATTERY,SIMPLE,CTA PLATFORM,FALSE,FALSE,731,6,08B,1177279,1859276,2011,41.76918549,-87.62573242,"(41.769185486, -87.625732415)",31,22260,67,513,32,11,17,201
HT110043,1/7/2011 21:50,005XX N MILWAUKEE AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,1323,27,3,1170877,1903757,2011,41.89138764,-87.64789814,"(41.891387635, -87.647898136)",41,22620,25,522,46,49,15,76
HT111656,1/9/2011 2:32,005XX S PULASKI RD,031A,ROBBERY,ARMED: HANDGUN,CTA PLATFORM,TRUE,FALSE,1132,24,3,1149812,1897228,2011,41.87390705,-87.72543009,"(41.873907046, -87.725430093)",36,21572,27,675,14,30,16,142
HT104509,1/4/2011 8:40,011XX W THORNDALE AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA PLATFORM,FALSE,FALSE,2433,48,17,1167594,1939683,2011,41.99004158,-87.65891695,"(41.990041584, -87.65891695)",40,4451,76,13,16,14,2,42
HT112412,1/9/2011 18:10,046XX N BROADWAY,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,2311,46,11,1167942,1930944,2011,41.966054,-87.6578904,"(41.966053999, -87.657890403)",37,22616,31,241,39,15,5,4
HT112519,1/9/2011 20:07,018XX W ADDISON ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1923,47,11,1163415,1923932,2011,41.94690946,-87.67473343,"(41.94690946, -87.674733431)",13,21186,46,645,18,22,5,19
HT112815,1/10/2011 4:13,011XX W BRYN MAWR AVE,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,2023,48,08B,1167668,1937354,2011,41.98364915,-87.65871224,"(41.983649153, -87.658712242)",40,22616,76,144,16,14,2,42
HT113806,1/10/2011 17:00,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT113815,1/10/2011 17:00,036XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1123,28,11,1152291,1901263,2011,41.88493098,-87.71622179,"(41.884930978, -87.716221792)",11,21572,28,176,23,30,16,86
HT113793,1/10/2011 16:45,011XX W THORNDALE AVE,483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,CTA PLATFORM,FALSE,FALSE,2433,48,04B,1167594,1939683,2011,41.99004158,-87.65891695,"(41.990041584, -87.65891695)",40,4451,76,13,16,14,2,42
HT114043,1/10/2011 19:45,0000X W CTA 95TH ST LN,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,634,21,18,1177779,1842365,2011,41.72276838,-87.62441036,"(41.722768379, -87.624410361)",18,21554,45,187,13,59,20,242
HT114230,1/10/2011 23:00,009XX W BELMONT AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,CTA PLATFORM,FALSE,FALSE,1932,44,04A,1169269,1921430,2011,41.93991842,-87.65328888,"(41.93991842, -87.653288878)",38,4449,57,681,25,22,5,31
HT106074,1/5/2011 10:15,0000X W CTA OHARE PLATFORM ST,1570,SEX OFFENSE,PUBLIC INDECENCY,CTA PLATFORM,TRUE,FALSE,1654,41,17,1100955,1934905,2011,41.97810845,-87.90412276,"(41.978108446, -87.904122758)",34,16197,75,668,29,38,12,40
HT114594,1/7/2011 9:15,0000X W CTA 95TH ST LN,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,634,21,6,1177779,1842365,2011,41.72276838,-87.62441036,"(41.722768379, -87.624410361)",18,21554,45,187,13,59,20,242
HT113875,1/10/2011 17:48,011XX N CLARK ST,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,1824,42,6,1175324,1908209,2011,41.90350551,-87.6314328,"(41.903505509, -87.631432802)",22,14926,37,310,11,54,14,197
HT114411,1/11/2011 6:45,011XX W THORNDALE AVE,460,BATTERY,SIMPLE,CTA PLATFORM,FALSE,FALSE,2433,48,08B,1167594,1939683,2011,41.99004158,-87.65891695,"(41.990041584, -87.65891695)",40,4451,76,13,16,14,2,42
HT115480,1/11/2011 19:15,005XX S PULASKI RD,2024,NARCOTICS,POSS: HEROIN(WHITE),CTA PLATFORM,TRUE,FALSE,1132,24,18,1149812,1897228,2011,41.87390705,-87.72543009,"(41.873907046, -87.725430093)",36,21572,27,675,14,30,16,142
HT115556,1/11/2011 20:20,005XX S PULASKI RD,2024,NARCOTICS,POSS: HEROIN(WHITE),CTA PLATFORM,TRUE,FALSE,1132,24,18,1149812,1897228,2011,41.87390705,-87.72543009,"(41.873907046, -87.725430093)",36,21572,27,675,14,30,16,142
HT115484,1/11/2011 19:35,0000X W 95TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,634,21,18,1177762,1841949,2011,41.7216272,-87.62448518,"(41.721627204, -87.624485177)",18,21861,45,187,13,59,20,242
HT115758,1/12/2011 1:12,016XX W HOWARD ST,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,2422,49,08B,1163750,1950346,2011,42.0193833,-87.67275327,"(42.019383301, -87.67275327)",3,21853,10,489,5,9,11,32
HT106310,1/5/2011 11:49,046XX N BROADWAY,1680,GAMBLING,OTHER,CTA PLATFORM,TRUE,FALSE,2311,46,19,1167942,1930944,2011,41.966054,-87.6578904,"(41.966053999, -87.657890403)",37,22616,31,241,39,15,5,4
HT116850,1/12/2011 18:00,001XX W 35TH ST,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,924,11,3,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT117020,1/12/2011 19:40,002XX W GARFIELD BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),CTA PLATFORM,TRUE,FALSE,934,3,18,1175882,1868510,2011,41.79455599,-87.6305765,"(41.794555987, -87.630576503)",12,21559,66,166,9,37,24,111
HT116597,1/10/2011 18:00,034XX S STATE ST,331,ROBBERY,ATTEMPT: AGGRAVATED,CTA PLATFORM,FALSE,FALSE,2113,3,3,1176892,1881876,2011,41.83121076,-87.62646973,"(41.831210763, -87.626469726)",12,21194,1,25,9,40,24,169
HT117642,1/13/2011 10:57,0000X W 95TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,634,21,18,1177762,1841949,2011,41.7216272,-87.62448518,"(41.721627204, -87.624485177)",18,21861,45,187,13,59,20,242
HT117762,1/13/2011 11:30,030XX W LAKE ST,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,1331,2,3,1155993,1901004,2011,41.8841464,-87.70263439,"(41.8841464, -87.702634393)",48,21184,28,50,46,28,15,77
HT118402,1/13/2011 18:15,028XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1331,2,11,1157617,1901047,2011,41.88423149,-87.69666969,"(41.884231489, -87.696669693)",48,21184,28,50,46,28,15,77
HT119912,1/14/2011 19:40,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT120115,1/14/2011 21:55,011XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,132,2,18,1176517,1895340,2011,41.86816541,-87.62743954,"(41.868165405, -87.62743954)",48,14913,38,12,10,35,22,144
HT114204,1/10/2011 22:40,020XX S WESTERN AVE,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,1223,25,6,1160685,1890246,2011,41.85452951,-87.68570286,"(41.854529505, -87.685702859)",8,14920,33,4,26,43,15,121
HT121263,1/15/2011 19:15,012XX N CLARK ST,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,1821,42,6,1175314,1908524,2011,41.90437011,-87.63146007,"(41.904370109, -87.631460067)",22,14926,37,17,11,54,14,198
HT121326,1/15/2011 20:30,002XX S STATE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,TRUE,FALSE,123,42,6,1176417,1899156,2011,41.878639,-87.62769149,"(41.878638996, -87.627691486)",22,14912,38,92,36,29,22,126
HT121727,1/16/2011 6:26,002XX S STATE ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CTA PLATFORM,TRUE,FALSE,123,42,04A,1176417,1899156,2011,41.878639,-87.62769149,"(41.878638996, -87.627691486)",22,14912,38,92,36,29,22,126
HT122244,1/16/2011 16:45,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT122235,1/16/2011 16:45,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT123264,1/17/2011 14:35,063XX S ASHLAND AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,TRUE,FALSE,725,16,26,1166757,1862712,2011,41.77884539,-87.6642031,"(41.778845387, -87.6642031)",19,22257,65,279,2,23,17,204
HT123426,1/17/2011 16:20,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT123620,1/17/2011 18:00,048XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1532,28,11,1144147,1901839,2011,41.8866684,-87.74611368,"(41.886668404, -87.746113681)",11,22216,26,696,23,32,25,81
HT123816,1/17/2011 21:15,009XX W FULLERTON AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,1812,43,3,1169577,1916141,2011,41.92539845,-87.6523113,"(41.925398449, -87.652311296)",51,21190,68,769,34,16,5,173
HT123024,1/16/2011 21:30,012XX N CLARK ST,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,1821,42,6,1175314,1908524,2011,41.90437011,-87.63146007,"(41.904370109, -87.631460067)",22,14926,37,17,11,54,14,198
HT124151,1/18/2011 8:30,065XX N SHERIDAN RD,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,2432,49,08B,1167061,1943967,2011,42.00180847,-87.66075365,"(42.00180847, -87.660753652)",3,21853,10,267,5,9,11,41
HT124439,1/18/2011 11:30,030XX S ASHLAND AVE,560,ASSAULT,SIMPLE,CTA PLATFORM,FALSE,FALSE,923,11,08A,1166157,1884604,2011,41.83893231,-87.66577935,"(41.83893231, -87.665779349)",26,14920,33,126,26,43,23,162
HT124803,1/18/2011 15:45,0000X W 79TH ST,1330,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,TRUE,FALSE,623,6,26,1177498,1852629,2011,41.75094042,-87.62513026,"(41.750940418, -87.625130255)",31,21554,40,1,32,59,20,228
HT123710,1/17/2011 20:00,009XX W FULLERTON AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,1812,43,3,1169570,1916141,2011,41.9253986,-87.65233702,"(41.925398601, -87.652337017)",51,21190,68,769,34,16,5,173
HT125382,1/18/2011 21:30,019XX N WESTERN AVE,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,1434,1,6,1160062,1912639,2011,41.91599076,-87.68737084,"(41.915990756, -87.687370839)",24,22535,23,180,41,1,7,192
HT125601,1/19/2011 6:15,065XX N SHERIDAN RD,560,ASSAULT,SIMPLE,CTA PLATFORM,FALSE,FALSE,2432,49,08A,1167070,1943719,2011,42.00112776,-87.66072771,"(42.00112776, -87.660727709)",3,21853,10,267,5,9,11,41
HT125933,1/19/2011 11:10,011XX W WILSON AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,2311,46,11,1167963,1930704,2011,41.96539498,-87.65782015,"(41.965394976, -87.657820148)",37,22616,31,241,39,15,5,6
HT126006,1/19/2011 11:40,001XX N STATE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,TRUE,FALSE,122,42,6,1176345,1901114,2011,41.88401348,-87.62789676,"(41.884013483, -87.627896757)",22,14310,38,92,36,41,22,88
HT126293,1/14/2011 13:00,001XX S WABASH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA PLATFORM,FALSE,FALSE,123,42,11,1176832,1899710,2011,41.88014983,-87.62615095,"(41.88014983, -87.626150947)",22,14311,38,367,36,34,22,93
HT125191,1/18/2011 12:30,003XX E 47TH ST,880,THEFT,PURSE-SNATCHING,CTA PLATFORM,FALSE,FALSE,222,3,6,1179016,1873926,2011,41.8093471,-87.61891922,"(41.809347098, -87.618919216)",12,4301,4,448,9,36,24,98
HT126804,1/19/2011 20:15,009XX W BELMONT AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,1932,44,3,1169269,1921430,2011,41.93991842,-87.65328888,"(41.93991842, -87.653288878)",38,4449,57,681,25,22,5,31
HT127797,1/19/2011 18:00,001XX N STATE ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,122,42,6,1176329,1901689,2011,41.88559168,-87.62793815,"(41.885591676, -87.627938154)",22,14309,38,92,36,42,22,88
HT128231,1/20/2011 19:00,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT128007,1/20/2011 16:20,016XX W HOWARD ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,TRUE,FALSE,2422,49,26,1163750,1950346,2011,42.0193833,-87.67275327,"(42.019383301, -87.67275327)",3,21853,10,489,5,9,11,32
HT128266,1/20/2011 19:50,001XX S STATE ST,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,123,42,6,1176400,1899863,2011,41.88057943,-87.62773256,"(41.880579428, -87.627732563)",22,14311,38,92,36,34,22,93
HT127136,1/20/2011 3:25,015XX N CLYBOURN AVE,330,ROBBERY,AGGRAVATED,CTA PLATFORM,FALSE,FALSE,1822,43,3,1170470,1910783,2011,41.91067631,-87.64918707,"(41.910676312, -87.649187069)",51,22620,37,108,11,49,14,199
HT128640,1/21/2011 7:00,021XX S ARCHER AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,TRUE,FALSE,2111,25,26,1174984,1890032,2011,41.85363434,-87.63322633,"(41.853634337, -87.633226331)",8,21194,35,3,26,40,23,157
HT125831,1/18/2011 22:00,075XX S EXCHANGE AVE,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,421,7,6,1195185,1855723,2011,41.75901281,-87.56021562,"(41.759012808, -87.560215615)",43,22538,39,245,37,24,19,225
HT127125,1/20/2011 2:35,0000X W 95TH ST,440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,CTA PLATFORM,TRUE,FALSE,634,21,08B,1177762,1841949,2011,41.7216272,-87.62448518,"(41.721627204, -87.624485177)",18,21861,45,187,13,59,20,242
HT128999,1/21/2011 12:08,002XX W 47TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,935,3,11,1175476,1873816,2011,41.80912527,-87.63190651,"(41.809125265, -87.631906508)",12,14924,3,224,9,37,23,117
HT129801,1/21/2011 21:45,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT125405,1/18/2011 22:09,020XX S KILDARE AVE,031A,ROBBERY,ARMED: HANDGUN,CTA PLATFORM,FALSE,FALSE,1012,24,3,1148035,1889929,2011,41.85391205,-87.73214212,"(41.853912049, -87.732142119)",36,21569,30,753,14,57,21,109
HT131808,1/23/2011 11:30,051XX W LAKE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,TRUE,TRUE,1532,28,6,1142037,1901984,2011,41.88710566,-87.75385865,"(41.887105662, -87.753858648)",11,22216,26,696,23,32,25,81
HT132132,1/23/2011 14:40,012XX N ASHLAND AVE,880,THEFT,PURSE-SNATCHING,CTA PLATFORM,FALSE,FALSE,1424,1,6,1165506,1908134,2011,41.90351448,-87.66749844,"(41.90351448, -87.667498444)",24,21560,25,483,11,49,7,200
HT132123,1/23/2011 16:05,001XX N STATE ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,CTA PLATFORM,TRUE,FALSE,122,42,11,1176330,1901649,2011,41.88548189,-87.62793569,"(41.885481891, -87.627935689)",22,14309,38,92,36,42,22,88
HT132176,1/23/2011 17:00,008XX N STATE ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,1833,42,6,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT132253,1/23/2011 18:30,015XX N SEDGWICK ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,CTA PLATFORM,FALSE,FALSE,1821,43,3,1173359,1910779,2011,41.91060161,-87.63857415,"(41.910601612, -87.638574153)",41,14926,37,290,46,54,14,198
HT132985,1/24/2011 10:30,011XX W BRYN MAWR AVE,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,2023,48,6,1167668,1937354,2011,41.98364915,-87.65871224,"(41.983649153, -87.658712242)",40,22616,76,144,16,14,2,42
HT133857,1/24/2011 19:15,001XX W DIVISION ST,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,1821,42,3,1175219,1908350,2011,41.90389478,-87.63181425,"(41.903894777, -87.631814251)",22,14926,37,17,11,54,14,198
HT128101,1/20/2011 17:50,003XX S STATE ST,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,TRUE,FALSE,123,2,3,1176426,1898846,2011,41.87778814,-87.6276678,"(41.877788135, -87.627667799)",48,14912,38,367,10,29,22,126
HT134543,1/24/2011 20:30,046XX N BROADWAY,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,2311,46,3,1167990,1930845,2011,41.9657813,-87.65771679,"(41.965781301, -87.657716788)",37,22616,31,241,39,15,5,4
HT135319,1/25/2011 18:00,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT135299,1/25/2011 17:45,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT135448,1/25/2011 19:00,0000X W 69TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,731,6,18,1177279,1859276,2011,41.76918549,-87.62573242,"(41.769185486, -87.625732415)",31,22260,67,513,32,11,17,201
HT135538,1/25/2011 19:57,008XX N STATE ST,860,THEFT,RETAIL THEFT,CTA PLATFORM,TRUE,FALSE,1832,42,6,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT136129,1/26/2011 9:50,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
