,Station_Name,Station_ID,Station_Name_old,ADA,Red,Blue,Green,Brown,Purple,Purple_Express,Yellow,Pink,Orange,Historical_Wards_2003-2015,Zip_Codes,Community_Areas,Census_Tracts,Wards
145,Harlem-Lake,40020,Harlem-Lake,True,False,False,True,False,False,False,False,False,False,,26611,,,
146,Harlem-O'Hare,40750,Harlem,True,False,True,False,False,False,False,False,False,False,34.0,4448,36.0,735.0,29.0
147,Harlem-O'Hare,40750,Harlem,True,False,True,False,False,False,False,False,False,False,34.0,4448,36.0,735.0,29.0
148,Harrison,41490,Harrison,False,True,False,False,False,False,False,False,False,False,48.0,14913,38.0,368.0,10.0
149,Harrison,41490,Harrison,False,True,False,False,False,False,False,False,False,False,48.0,14913,38.0,368.0,10.0
150,Howard,40900,Howard,True,False,False,False,False,True,True,True,False,False,3.0,21853,10.0,489.0,5.0
151,Howard,40900,Howard,True,True,False,False,False,False,False,False,False,False,3.0,21853,10.0,489.0,5.0
152,Howard,40900,Howard,True,True,False,False,False,False,False,False,False,False,3.0,21853,10.0,489.0,5.0
153,Howard,40900,Howard,True,False,False,False,False,True,True,True,False,False,3.0,21853,10.0,489.0,5.0
154,Indiana,40300,Indiana,True,False,False,True,False,False,False,False,False,False,12.0,4301,4.0,163.0,9.0
155,Indiana,40300,Indiana,True,False,False,True,False,False,False,False,False,False,12.0,4301,4.0,163.0,9.0
156,Irving Park-Brown,41460,Irving Park,True,False,False,False,True,False,False,False,False,False,13.0,21186,46.0,622.0,18.0
157,Irving Park-Brown,41460,Irving Park,True,False,False,False,True,False,False,False,False,False,13.0,21186,46.0,622.0,18.0
158,Irving Park-O'Hare,40550,Irving Park,False,False,True,False,False,False,False,False,False,False,28.0,22618,16.0,295.0,50.0
159,Irving Park-O'Hare,40550,Irving Park,False,False,True,False,False,False,False,False,False,False,28.0,22618,16.0,295.0,50.0
160,Jackson-Dearborn,40070,Jackson,True,False,True,False,False,False,False,False,False,False,22.0,14912,38.0,92.0,36.0
