,Station_Name,Station_ID,Station_Name_old,ADA,Red,Blue,Green,Brown,Purple,Purple_Express,Yellow,Pink,Orange,Historical_Wards_2003-2015,Zip_Codes,Community_Areas,Census_Tracts,Wards
25,95th-Dan Ryan,40450,95th-Ran Ryan,True,True,False,False,False,False,False,False,False,False,18.0,21861,45.0,187.0,13.0
26,Adams-Wabash,40680,Adams-Wabash,False,False,False,True,False,False,True,False,True,True,22.0,14912,38.0,367.0,36.0
27,Adams-Wabash,40680,Adams-Wabash,False,False,False,True,True,False,False,False,False,False,22.0,14912,38.0,367.0,36.0
28,Addison-Brown,41440,Addison,True,False,False,False,True,False,False,False,False,False,13.0,21186,46.0,644.0,18.0
29,Addison-Brown,41440,Addison,True,False,False,False,True,False,False,False,False,False,13.0,21186,46.0,644.0,18.0
30,Addison-North Main,41420,Addison,True,True,False,False,False,False,False,False,False,False,38.0,21186,57.0,727.0,25.0
31,Addison-North Main,41420,Addison,True,True,False,False,False,False,False,False,False,False,38.0,21186,57.0,727.0,25.0
32,Addison-O'Hare,41240,Addison,True,False,True,False,False,False,False,False,False,False,15.0,21538,16.0,326.0,50.0
33,Addison-O'Hare,41240,Addison,True,False,True,False,False,False,False,False,False,False,15.0,21538,16.0,326.0,50.0
34,Argyle,41200,Argyle,False,True,False,False,False,False,False,False,False,False,40.0,22616,31.0,634.0,16.0
35,Argyle,41200,Argyle,False,True,False,False,False,False,False,False,False,False,40.0,22616,31.0,634.0,16.0
36,Armitage,40660,Armitage,True,False,False,False,True,False,True,False,False,False,51.0,21190,68.0,744.0,34.0
37,Armitage,40660,Armitage,True,False,False,False,True,False,True,False,False,False,51.0,21190,68.0,744.0,34.0
38,Ashland-63rd,40290,Ashland-63rd,True,False,False,True,False,False,False,False,False,False,19.0,22257,65.0,279.0,2.0
39,Ashland-63rd,40290,Ashland-63rd,True,False,False,True,False,False,False,False,False,False,19.0,22257,65.0,279.0,2.0
40,Ashland-Lake,40170,Ashland,True,False,False,True,False,False,False,False,True,False,41.0,14917,29.0,579.0,46.0
41,Ashland-Lake,40170,Ashland,True,False,False,True,False,False,False,False,True,False,41.0,14917,29.0,579.0,46.0
